run,namespace,disorder_type,n,delta,strength,effective_realizations_per_orientation,reference_label,total,gap_accuracy,joint_accuracy,gap_positive_rate,joint_positive_rate,gap_false_positive_rate,joint_false_positive_rate,gap_false_negative_rate,joint_false_negative_rate,error_gap_minus_error_joint,gap_wrong_joint_right,gap_right_joint_wrong,mcnemar_pvalue,reference_label_flips_from_clean_parent
primary,amy-ssh-disorder-v1-primary,off_diagonal,20,0.05,0,1,random_ssh_log_geometric_mean,2,0.5,0.5,,,0,0,1,1,0,0,0,1,0
primary,amy-ssh-disorder-v1-primary,off_diagonal,20,0.05,0.05,128,random_ssh_log_geometric_mean,256,0.5,0.5,,,0,0,1,1,0,0,0,1,0
primary,amy-ssh-disorder-v1-primary,off_diagonal,20,0.05,0.1,128,random_ssh_log_geometric_mean,256,0.5,0.5,,,0,0,1,1,0,0,0,1,0
primary,amy-ssh-disorder-v1-primary,off_diagonal,20,0.05,0.2,128,random_ssh_log_geometric_mean,256,0.4921875,0.4921875,,,0,0,1,1,0,0,0,1,4
primary,amy-ssh-disorder-v1-primary,off_diagonal,20,0.05,0.4,128,random_ssh_log_geometric_mean,256,0.515625,0.515625,,,0,0,0.9841269841,0.9841269841,0,0,0,1,40
primary,amy-ssh-disorder-v1-primary,off_diagonal,20,0.1,0,1,random_ssh_log_geometric_mean,2,0.5,0.5,,,0,0,1,1,0,0,0,1,0
primary,amy-ssh-disorder-v1-primary,off_diagonal,20,0.1,0.05,128,random_ssh_log_geometric_mean,256,0.50390625,0.50390625,,,0,0,0.9921875,0.9921875,0,0,0,1,0
primary,amy-ssh-disorder-v1-primary,off_diagonal,20,0.1,0.1,128,random_ssh_log_geometric_mean,256,0.5234375,0.51953125,,,0,0,0.953125,0.9609375,-0.00390625,0,1,1,0
primary,amy-ssh-disorder-v1-primary,off_diagonal,20,0.1,0.2,128,random_ssh_log_geometric_mean,256,0.62890625,0.61328125,,,0,0,0.7421875,0.7734375,-0.015625,0,4,0.125,0
primary,amy-ssh-disorder-v1-primary,off_diagonal,20,0.1,0.4,128,random_ssh_log_geometric_mean,256,0.6953125,0.6796875,,,0,0,0.5909090909,0.6212121212,-0.015625,1,5,0.21875,6
primary,amy-ssh-disorder-v1-primary,off_diagonal,20,0.2,0,1,random_ssh_log_geometric_mean,2,1,1,,,0,0,0,0,0,0,0,1,0
