SSH disorder diagnostic benchmark:
  Method: exact diagonalization of paired finite open SSH chains.
  seed_derivation=sha256
  paired_orientations=true
  primary_estimand=error_gap_minus_error_joint
  namespace=amy-ssh-disorder-v1-primary
  protocol_sha256=49770675bdbffb73c399c7558adf146aba6488a69dae607cfce5424b8db7a1c8
  preregistration_sha256=269f5c9d13bfe336c181fc9b72afc57131ba06765c7eb75c9b605d75651a5897
  Diagnostic thresholds: gap_ratio<=0.2; edge_weight>=0.5; normalized_ipr>=2.5; joint_rule=at_least_two_of_three
  Condition summaries:
    summary; namespace=amy-ssh-disorder-v1-primary; disorder_type=off_diagonal; n=20; delta=0.05; strength=0; effective_realizations_per_orientation=1; reference_label=random_ssh_log_geometric_mean; total=2; gap_accuracy=0.5; joint_accuracy=0.5; gap_positive_rate=not_defined; joint_positive_rate=not_defined; gap_false_positive_rate=0; joint_false_positive_rate=0; gap_false_negative_rate=1; joint_false_negative_rate=1; error_gap_minus_error_joint=0; gap_wrong_joint_right=0; gap_right_joint_wrong=0; mcnemar_pvalue=1; reference_label_flips_from_clean_parent=0
    summary; namespace=amy-ssh-disorder-v1-primary; disorder_type=off_diagonal; n=20; delta=0.05; strength=0.05; effective_realizations_per_orientation=128; reference_label=random_ssh_log_geometric_mean; total=256; gap_accuracy=0.5; joint_accuracy=0.5; gap_positive_rate=not_defined; joint_positive_rate=not_defined; gap_false_positive_rate=0; joint_false_positive_rate=0; gap_false_negative_rate=1; joint_false_negative_rate=1; error_gap_minus_error_joint=0; gap_wrong_joint_right=0; gap_right_joint_wrong=0; mcnemar_pvalue=1; reference_label_flips_from_clean_parent=0
    summary; namespace=amy-ssh-disorder-v1-primary; disorder_type=off_diagonal; n=20; delta=0.05; strength=0.1; effective_realizations_per_orientation=128; reference_label=random_ssh_log_geometric_mean; total=256; gap_accuracy=0.5; joint_accuracy=0.5; gap_positive_rate=not_defined; joint_positive_rate=not_defined; gap_false_positive_rate=0; joint_false_positive_rate=0; gap_false_negative_rate=1; joint_false_negative_rate=1; error_gap_minus_error_joint=0; gap_wrong_joint_right=0; gap_right_joint_wrong=0; mcnemar_pvalue=1; reference_label_flips_from_clean_parent=0
    summary; namespace=amy-ssh-disorder-v1-primary; disorder_type=off_diagonal; n=20; delta=0.05; strength=0.2; effective_realizations_per_orientation=128; reference_label=random_ssh_log_geometric_mean; total=256; gap_accuracy=0.4921875; joint_accuracy=0.4921875; gap_positive_rate=not_defined; joint_positive_rate=not_defined; gap_false_positive_rate=0; joint_false_positive_rate=0; gap_false_negative_rate=1; joint_false_negative_rate=1; error_gap_minus_error_joint=0; gap_wrong_joint_right=0; gap_right_joint_wrong=0; mcnemar_pvalue=1; reference_label_flips_from_clean_parent=4
    summary; namespace=amy-ssh-disorder-v1-primary; disorder_type=off_diagonal; n=20; delta=0.05; strength=0.4; effective_realizations_per_orientation=128; reference_label=random_ssh_log_geometric_mean; total=256; gap_accuracy=0.515625; joint_accuracy=0.515625; gap_positive_rate=not_defined; joint_positive_rate=not_defined; gap_false_positive_rate=0; joint_false_positive_rate=0; gap_false_negative_rate=0.9841269841; joint_false_negative_rate=0.9841269841; error_gap_minus_error_joint=0; gap_wrong_joint_right=0; gap_right_joint_wrong=0; mcnemar_pvalue=1; reference_label_flips_from_clean_parent=40
    summary; namespace=amy-ssh-disorder-v1-primary; disorder_type=off_diagonal; n=20; delta=0.1; strength=0; effective_realizations_per_orientation=1; reference_label=random_ssh_log_geometric_mean; total=2; gap_accuracy=0.5; joint_accuracy=0.5; gap_positive_rate=not_defined; joint_positive_rate=not_defined; gap_false_positive_rate=0; joint_false_positive_rate=0; gap_false_negative_rate=1; joint_false_negative_rate=1; error_gap_minus_error_joint=0; gap_wrong_joint_right=0; gap_right_joint_wrong=0; mcnemar_pvalue=1; reference_label_flips_from_clean_parent=0
    summary; namespace=amy-ssh-disorder-v1-primary; disorder_type=off_diagonal; n=20; delta=0.1; strength=0.05; effective_realizations_per_orientation=128; reference_label=random_ssh_log_geometric_mean; total=256; gap_accuracy=0.50390625; joint_accuracy=0.50390625; gap_positive_rate=not_defined; joint_positive_rate=not_defined; gap_false_positive_rate=0; joint_false_positive_rate=0; gap_false_negative_rate=0.9921875; joint_false_negative_rate=0.9921875; error_gap_minus_error_joint=0; gap_wrong_joint_right=0; gap_right_joint_wrong=0; mcnemar_pvalue=1; reference_label_flips_from_clean_parent=0
    summary; namespace=amy-ssh-disorder-v1-primary; disorder_type=off_diagonal; n=20; delta=0.1; strength=0.1; effective_realizations_per_orientation=128; reference_label=random_ssh_log_geometric_mean; total=256; gap_accuracy=0.5234375; joint_accuracy=0.51953125; gap_positive_rate=not_defined; joint_positive_rate=not_defined; gap_false_positive_rate=0; joint_false_positive_rate=0; gap_false_negative_rate=0.953125; joint_false_negative_rate=0.9609375; error_gap_minus_error_joint=-0.00390625; gap_wrong_joint_right=0; gap_right_joint_wrong=1; mcnemar_pvalue=1; reference_label_flips_from_clean_parent=0
    summary; namespace=amy-ssh-disorder-v1-primary; disorder_type=off_diagonal; n=20; delta=0.1; strength=0.2; effective_realizations_per_orientation=128; reference_label=random_ssh_log_geometric_mean; total=256; gap_accuracy=0.62890625; joint_accuracy=0.61328125; gap_positive_rate=not_defined; joint_positive_rate=not_defined; gap_false_positive_rate=0; joint_false_positive_rate=0; gap_false_negative_rate=0.7421875; joint_false_negative_rate=0.7734375; error_gap_minus_error_joint=-0.015625; gap_wrong_joint_right=0; gap_right_joint_wrong=4; mcnemar_pvalue=0.125; reference_label_flips_from_clean_parent=0
    summary; namespace=amy-ssh-disorder-v1-primary; disorder_type=off_diagonal; n=20; delta=0.1; strength=0.4; effective_realizations_per_orientation=128; reference_label=random_ssh_log_geometric_mean; total=256; gap_accuracy=0.6953125; joint_accuracy=0.6796875; gap_positive_rate=not_defined; joint_positive_rate=not_defined; gap_false_positive_rate=0; joint_false_positive_rate=0; gap_false_negative_rate=0.5909090909; joint_false_negative_rate=0.6212121212; error_gap_minus_error_joint=-0.015625; gap_wrong_joint_right=1; gap_right_joint_wrong=5; mcnemar_pvalue=0.21875; reference_label_flips_from_clean_parent=6
    summary; namespace=amy-ssh-disorder-v1-primary; disorder_type=off_diagonal; n=20; delta=0.2; strength=0; effective_realizations_per_orientation=1; reference_label=random_ssh_log_geometric_mean; total=2; gap_accuracy=1; joint_accuracy=1; gap_positive_rate=not_defined; joint_positive_rate=not_defined; gap_false_positive_rate=0; joint_false_positive_rate=0; gap_false_negative_rate=0; joint_false_negative_rate=0; error_gap_minus_error_joint=0; gap_wrong_joint_right=0; gap_right_joint_wrong=0; mcnemar_pvalue=1; reference_label_flips_from_clean_parent=0
