SSH disorder diagnostic benchmark:
  Method: exact diagonalization of paired finite open SSH chains.
  seed_derivation=sha256
  paired_orientations=true
  primary_estimand=error_gap_minus_error_joint
  namespace=amy-ssh-disorder-v1-replication
  protocol_sha256=c7e9b5ebc0bddd3e14c00730686414407210cecc84cb687d26ca749a15d8c8ea
  preregistration_sha256=269f5c9d13bfe336c181fc9b72afc57131ba06765c7eb75c9b605d75651a5897
  Diagnostic thresholds: gap_ratio<=0.2; edge_weight>=0.5; normalized_ipr>=2.5; joint_rule=at_least_two_of_three
  Condition summaries:
    summary; namespace=amy-ssh-disorder-v1-replication; disorder_type=off_diagonal; n=20; delta=0.05; strength=0; effective_realizations_per_orientation=1; reference_label=random_ssh_log_geometric_mean; total=2; gap_accuracy=0.5; joint_accuracy=0.5; gap_positive_rate=not_defined; joint_positive_rate=not_defined; gap_false_positive_rate=0; joint_false_positive_rate=0; gap_false_negative_rate=1; joint_false_negative_rate=1; error_gap_minus_error_joint=0; gap_wrong_joint_right=0; gap_right_joint_wrong=0; mcnemar_pvalue=1; reference_label_flips_from_clean_parent=0
    summary; namespace=amy-ssh-disorder-v1-replication; disorder_type=off_diagonal; n=20; delta=0.05; strength=0.05; effective_realizations_per_orientation=128; reference_label=random_ssh_log_geometric_mean; total=256; gap_accuracy=0.5; joint_accuracy=0.5; gap_positive_rate=not_defined; joint_positive_rate=not_defined; gap_false_positive_rate=0; joint_false_positive_rate=0; gap_false_negative_rate=1; joint_false_negative_rate=1; error_gap_minus_error_joint=0; gap_wrong_joint_right=0; gap_right_joint_wrong=0; mcnemar_pvalue=1; reference_label_flips_from_clean_parent=0
    summary; namespace=amy-ssh-disorder-v1-replication; disorder_type=off_diagonal; n=20; delta=0.05; strength=0.1; effective_realizations_per_orientation=128; reference_label=random_ssh_log_geometric_mean; total=256; gap_accuracy=0.5; joint_accuracy=0.5; gap_positive_rate=not_defined; joint_positive_rate=not_defined; gap_false_positive_rate=0; joint_false_positive_rate=0; gap_false_negative_rate=1; joint_false_negative_rate=1; error_gap_minus_error_joint=0; gap_wrong_joint_right=0; gap_right_joint_wrong=0; mcnemar_pvalue=1; reference_label_flips_from_clean_parent=0
    summary; namespace=amy-ssh-disorder-v1-replication; disorder_type=off_diagonal; n=20; delta=0.05; strength=0.2; effective_realizations_per_orientation=128; reference_label=random_ssh_log_geometric_mean; total=256; gap_accuracy=0.50390625; joint_accuracy=0.50390625; gap_positive_rate=not_defined; joint_positive_rate=not_defined; gap_false_positive_rate=0; joint_false_positive_rate=0; gap_false_negative_rate=1; joint_false_negative_rate=1; error_gap_minus_error_joint=0; gap_wrong_joint_right=0; gap_right_joint_wrong=0; mcnemar_pvalue=1; reference_label_flips_from_clean_parent=3
    summary; namespace=amy-ssh-disorder-v1-replication; disorder_type=off_diagonal; n=20; delta=0.05; strength=0.4; effective_realizations_per_orientation=128; reference_label=random_ssh_log_geometric_mean; total=256; gap_accuracy=0.5; joint_accuracy=0.51171875; gap_positive_rate=not_defined; joint_positive_rate=not_defined; gap_false_positive_rate=0; joint_false_positive_rate=0; gap_false_negative_rate=0.9696969697; joint_false_negative_rate=0.946969697; error_gap_minus_error_joint=0.01171875; gap_wrong_joint_right=3; gap_right_joint_wrong=0; mcnemar_pvalue=0.25; reference_label_flips_from_clean_parent=44
    summary; namespace=amy-ssh-disorder-v1-replication; disorder_type=off_diagonal; n=20; delta=0.1; strength=0; effective_realizations_per_orientation=1; reference_label=random_ssh_log_geometric_mean; total=2; gap_accuracy=0.5; joint_accuracy=0.5; gap_positive_rate=not_defined; joint_positive_rate=not_defined; gap_false_positive_rate=0; joint_false_positive_rate=0; gap_false_negative_rate=1; joint_false_negative_rate=1; error_gap_minus_error_joint=0; gap_wrong_joint_right=0; gap_right_joint_wrong=0; mcnemar_pvalue=1; reference_label_flips_from_clean_parent=0
    summary; namespace=amy-ssh-disorder-v1-replication; disorder_type=off_diagonal; n=20; delta=0.1; strength=0.05; effective_realizations_per_orientation=128; reference_label=random_ssh_log_geometric_mean; total=256; gap_accuracy=0.50390625; joint_accuracy=0.50390625; gap_positive_rate=not_defined; joint_positive_rate=not_defined; gap_false_positive_rate=0; joint_false_positive_rate=0; gap_false_negative_rate=0.9921875; joint_false_negative_rate=0.9921875; error_gap_minus_error_joint=0; gap_wrong_joint_right=0; gap_right_joint_wrong=0; mcnemar_pvalue=1; reference_label_flips_from_clean_parent=0
    summary; namespace=amy-ssh-disorder-v1-replication; disorder_type=off_diagonal; n=20; delta=0.1; strength=0.1; effective_realizations_per_orientation=128; reference_label=random_ssh_log_geometric_mean; total=256; gap_accuracy=0.5390625; joint_accuracy=0.52734375; gap_positive_rate=not_defined; joint_positive_rate=not_defined; gap_false_positive_rate=0; joint_false_positive_rate=0; gap_false_negative_rate=0.921875; joint_false_negative_rate=0.9453125; error_gap_minus_error_joint=-0.01171875; gap_wrong_joint_right=0; gap_right_joint_wrong=3; mcnemar_pvalue=0.25; reference_label_flips_from_clean_parent=0
    summary; namespace=amy-ssh-disorder-v1-replication; disorder_type=off_diagonal; n=20; delta=0.1; strength=0.2; effective_realizations_per_orientation=128; reference_label=random_ssh_log_geometric_mean; total=256; gap_accuracy=0.625; joint_accuracy=0.59375; gap_positive_rate=not_defined; joint_positive_rate=not_defined; gap_false_positive_rate=0; joint_false_positive_rate=0; gap_false_negative_rate=0.75; joint_false_negative_rate=0.8125; error_gap_minus_error_joint=-0.03125; gap_wrong_joint_right=0; gap_right_joint_wrong=8; mcnemar_pvalue=0.0078125; reference_label_flips_from_clean_parent=0
    summary; namespace=amy-ssh-disorder-v1-replication; disorder_type=off_diagonal; n=20; delta=0.1; strength=0.4; effective_realizations_per_orientation=128; reference_label=random_ssh_log_geometric_mean; total=256; gap_accuracy=0.70703125; joint_accuracy=0.6875; gap_positive_rate=not_defined; joint_positive_rate=not_defined; gap_false_positive_rate=0; joint_false_positive_rate=0; gap_false_negative_rate=0.5952380952; joint_false_negative_rate=0.6349206349; error_gap_minus_error_joint=-0.01953125; gap_wrong_joint_right=1; gap_right_joint_wrong=6; mcnemar_pvalue=0.125; reference_label_flips_from_clean_parent=8
    summary; namespace=amy-ssh-disorder-v1-replication; disorder_type=off_diagonal; n=20; delta=0.2; strength=0; effective_realizations_per_orientation=1; reference_label=random_ssh_log_geometric_mean; total=2; gap_accuracy=1; joint_accuracy=1; gap_positive_rate=not_defined; joint_positive_rate=not_defined; gap_false_positive_rate=0; joint_false_positive_rate=0; gap_false_negative_rate=0; joint_false_negative_rate=0; error_gap_minus_error_joint=0; gap_wrong_joint_right=0; gap_right_joint_wrong=0; mcnemar_pvalue=1; reference_label_flips_from_clean_parent=0
